prior,score,estimate
1,4,C
2,3,C
3,3,C
4,3,C
5,3,C
6,3,C
7,3,C
8,3,C
9,3,C
10,3,C
11,3,C
12,3,C
13,3,C
14,3,C
15,3,C
16,3,C
17,3,C
18,3,C
19,3,C
20,3,C
21,3,C
22,3,C
23,3,C
24,3,C
25,3,C
26,3,C
27,3,C
28,3,C
29,3,C
30,3,C
31,3,C
32,3,C
33,3,C
34,3,C
35,3,C
36,3,C
37,3,C
38,3,C
39,3,C
40,3,C
41,3,C
42,3,C
43,3,C
44,3,C
45,3,C
46,3,C
47,3,C
48,3,C
49,3,C
50,3,C
51,3,C
52,3,C
53,3,C
54,3,C
55,3,C
56,3,C
57,3,C
58,3,C
59,3,C
60,3,C
61,3,C
62,3,C
63,3,C
64,3,C
65,3,C
66,3,C
67,3,C
68,3,C
69,3,C
70,3,C
71,3,C
72,3,C
73,3,C
74,3,C
75,3,C
76,3,C
77,3,C
78,3,C
79,3,C
80,3,C
81,3,C
82,3,C
83,3,C
84,3,C
85,3,C
86,3,C
87,3,C
88,3,C
89,3,C
90,3,C
91,3,C
92,3,C
93,3,C
94,3,C
95,3,C
96,3,C
97,3,C
98,3,C
99,3,C
100,3,C
101,3,C
102,3,C
103,3,C
104,3,C
105,3,C
106,3,C
107,3,C
108,3,C
109,3,C
110,3,C
111,3,C
112,3,C
113,3,C
114,3,C
115,3,C
116,3,C
117,3,C
118,0,F
119,3,C
120,3,C
121,3,C
122,3,C
123,3,C
124,3,C
125,3,C
126,3,C
127,0,F
128,3,C
129,3,C
130,1,D
131,3,C
132,0,F
133,0,F
134,3,C
135,0,F
136,1,D
137,1,D
138,1,D
